Date,SP500,DAX,KOSPI,NIKKEI,HSCEI,GOLD
2023-02-03,4136.47998046875,15476.4296875,2480.39990234375,27509.4609375,7387.02001953125,173.4600067138672
2023-02-06,4111.080078125,15345.91015625,2438.18994140625,27693.650390625,7189.3701171875,173.82000732421875
2023-02-07,4164.0,15320.8798828125,2451.7099609375,27685.470703125,7232.25,173.97999572753906
2023-02-08,4117.85986328125,15412.0498046875,2483.639892578125,27606.4609375,7189.2900390625,174.41000366210938
2023-02-09,4081.5,15523.419921875,2481.52001953125,27584.349609375,7313.72998046875,173.02999877929688
2023-02-10,4090.4599609375,15307.98046875,2469.72998046875,27670.98046875,7126.18994140625,173.36000061035156
2023-02-13,4137.2900390625,15397.33984375,2452.699951171875,27427.3203125,7144.4501953125,172.47999572753906
2023-02-14,4136.1298828125,15380.5595703125,2465.639892578125,27602.76953125,7110.419921875,172.61000061035156
2023-02-15,4147.60009765625,15506.33984375,2427.89990234375,27501.859375,7018.14013671875,170.88999938964844
2023-02-16,4090.409912109375,15533.6396484375,2475.47998046875,27696.439453125,7089.9501953125,170.75
2023-02-17,4079.090087890625,15482.0,2451.2099609375,27513.130859375,6991.27001953125,171.25999450683594
2023-02-21,3997.340087890625,15397.6201171875,2458.9599609375,27473.099609375,6925.06982421875,170.6199951171875
2023-02-22,3991.050048828125,15399.8896484375,2417.679931640625,27104.3203125,6832.759765625,169.66000366210938
2023-02-24,3970.0400390625,15209.740234375,2423.610107421875,27453.48046875,6703.4501953125,168.35000610351562
2023-02-27,3982.239990234375,15381.4296875,2402.639892578125,27423.9609375,6670.22021484375,169.00999450683594
2023-02-28,3970.14990234375,15365.1396484375,2412.85009765625,27445.560546875,6581.47021484375,169.77999877929688
2023-03-02,3981.35009765625,15327.6396484375,2427.85009765625,27498.869140625,6857.2001953125,170.66000366210938
2023-03-03,4045.639892578125,15578.3896484375,2432.070068359375,27927.470703125,6939.6201171875,172.49000549316406
2023-03-06,4048.419921875,15653.580078125,2462.6201171875,28237.779296875,6937.5,171.6199951171875
2023-03-07,3986.3701171875,15559.5302734375,2463.35009765625,28309.16015625,6912.27978515625,168.6199951171875
2023-03-08,3992.010009765625,15631.8701171875,2431.909912109375,28444.189453125,6727.18017578125,168.5399932861328
2023-03-09,3918.320068359375,15633.2099609375,2419.090087890625,28623.150390625,6649.6298828125,170.1999969482422
2023-03-10,3861.590087890625,15427.9697265625,2394.590087890625,28143.970703125,6445.89990234375,173.8699951171875
2023-03-13,3855.760009765625,14959.4697265625,2410.60009765625,27832.9609375,6590.22998046875,177.86000061035156
2023-03-14,3919.2900390625,15232.830078125,2348.969970703125,27222.0390625,6439.0,176.8300018310547
2023-03-15,3891.929931640625,14735.259765625,2379.719970703125,27229.48046875,6559.85986328125,178.2100067138672
2023-03-16,3960.280029296875,14967.099609375,2377.909912109375,27010.609375,6482.47021484375,178.57000732421875
2023-03-17,3916.639892578125,14768.2001953125,2395.68994140625,27333.7890625,6615.7099609375,183.77000427246094
2023-03-20,3951.570068359375,14933.3798828125,2379.199951171875,26945.669921875,6469.64990234375,183.83999633789062
2023-03-22,3936.969970703125,15216.1904296875,2416.9599609375,27466.609375,6639.990234375,183.44000244140625
2023-03-23,3948.719970703125,15210.3896484375,2424.47998046875,27419.609375,6836.4599609375,185.74000549316406
